workerid,trial_type,number,item,slide_number,context,response
0,one_slider_practice,NA,NA,NA,NA,1
0,one_slider_practice,NA,NA,NA,NA,0
0,one_slider,two,frog,6,without,1
0,one_slider,two,control1,7,without,0
0,one_slider,four,butterflies,8,without,1
0,one_slider,two,control2,9,with,0.98
0,one_slider,two,lions,10,with,0.98
0,one_slider,four,control3,11,without,0.02
0,one_slider,four,dinosaurs,12,with,0.99
1,one_slider_practice,NA,NA,NA,NA,0.98
1,one_slider_practice,NA,NA,NA,NA,0.02
1,one_slider,two,frog,6,without,0.03
1,one_slider,two,control1,7,without,0
1,one_slider,four,butterflies,8,without,1
1,one_slider,four,control2,9,with,0.99
1,one_slider,two,lions,10,without,1
1,one_slider,two,control3,11,with,0
1,one_slider,two,dinosaurs,12,without,1
2,one_slider_practice,NA,NA,NA,NA,0.53
2,one_slider_practice,NA,NA,NA,NA,0.49
2,one_slider,two,frog,6,without,0.57
2,one_slider,two,control1,7,without,0.71
2,one_slider,four,butterflies,8,with,0.35
2,one_slider,two,control2,9,with,0.67
2,one_slider,two,lions,10,without,0.44
2,one_slider,four,control3,11,with,0.56
2,one_slider,two,dinosaurs,12,with,0.48
3,one_slider_practice,NA,NA,NA,NA,1
3,one_slider_practice,NA,NA,NA,NA,0
3,one_slider,four,frog,6,without,1
3,one_slider,four,control1,7,with,0
3,one_slider,two,butterflies,8,without,1
3,one_slider,four,control2,9,with,1
3,one_slider,two,lions,10,without,1
3,one_slider,four,control3,11,with,0
3,one_slider,two,dinosaurs,12,with,1
4,one_slider_practice,NA,NA,NA,NA,0.99
4,one_slider_practice,NA,NA,NA,NA,0
4,one_slider,four,frog,6,with,0.98
4,one_slider,two,control1,7,without,0.98
4,one_slider,two,butterflies,8,with,1
4,one_slider,two,control2,9,with,0.98
4,one_slider,four,lions,10,with,0.99
4,one_slider,four,control3,11,without,0.02
4,one_slider,four,dinosaurs,12,without,0.98
5,one_slider_practice,NA,NA,NA,NA,0.99
5,one_slider_practice,NA,NA,NA,NA,0
5,one_slider,four,frog,6,with,0.94
5,one_slider,four,control1,7,with,0
5,one_slider,two,butterflies,8,without,1
5,one_slider,two,control2,9,with,0.94
5,one_slider,two,lions,10,with,0.89
5,one_slider,four,control3,11,with,0.06
5,one_slider,two,dinosaurs,12,without,0.31
6,one_slider_practice,NA,NA,NA,NA,0.99
6,one_slider_practice,NA,NA,NA,NA,0
6,one_slider,two,frog,6,with,0.97
6,one_slider,two,control1,7,with,0
6,one_slider,two,butterflies,8,with,0.97
6,one_slider,four,control2,9,with,0.98
6,one_slider,four,lions,10,with,0.97
6,one_slider,two,control3,11,with,0.01
6,one_slider,four,dinosaurs,12,with,0.99
7,one_slider_practice,NA,NA,NA,NA,0.99
7,one_slider_practice,NA,NA,NA,NA,0.02
7,one_slider,four,frog,6,with,0.97
7,one_slider,two,control1,7,with,0.01
7,one_slider,four,butterflies,8,without,0.98
7,one_slider,two,control2,9,with,0.99
7,one_slider,two,lions,10,with,0.01
7,one_slider,two,control3,11,with,0.02
7,one_slider,two,dinosaurs,12,without,0.01
8,one_slider_practice,NA,NA,NA,NA,0.68
8,one_slider_practice,NA,NA,NA,NA,0.8
8,one_slider,four,frog,6,without,0.61
8,one_slider,two,control1,7,without,0.76
8,one_slider,two,butterflies,8,without,0.76
8,one_slider,two,control2,9,without,0.73
8,one_slider,two,lions,10,with,0.7
8,one_slider,four,control3,11,without,0.41
8,one_slider,four,dinosaurs,12,with,0.75
