"","workerid","number","item","slide_number","context","response","justification","language"
"3",0,"two","frog",6,"with",0.99,"They both jumped the fence but the second frog didn&quotechart try to jump the rock","English"
"5",0,"four","butterflies",8,"without",0.97,"two decided to stay at home","English"
"7",0,"four","lions",10,"with",1,"Only 2 lions bought cookies, and 2 did not.","English"
"9",0,"four","dinosaurs",12,"with",0.99,"two were too full to eat bugs","English"
"12",1,"four","frog",6,"with",1,"The two frogs that did jump over the fence and not over the rocks were smaller in size.","English"
"14",1,"four","butterflies",8,"without",1,"Two butterflies stayed home and did not go to the city.","English"
"16",1,"four","lions",10,"with",1,"Two of the lions did not buy the two remaining cookies.","English"
"18",1,"four","dinosaurs",12,"without",1,"The two who did not eat bugs, because they don&quotechart like bugs.","English"
"30",3,"two","frog",6,"without",0,"One frog jumped over the rock","english"
"32",3,"four","butterflies",8,"without",1,"They decided to stay at home","english"
"34",3,"four","lions",10,"with",1,"only two lions bought a cookie","english"
"36",3,"two","dinosaurs",12,"with",1,"Only one dinosaur ate the bug","english"
"39",4,"four","frog",6,"without",1,"The 2 smaller frogs thought the rock was too big to jump over.","English"
"41",4,"two","butterflies",8,"with",1,"One butterfly stayed behind in the forest because they liked it there.","English"
"43",4,"four","lions",10,"with",1,"Only 2 lions bought a cookie, so it would follow that 2 didn&quotechart.","English"
"45",4,"two","dinosaurs",12,"with",1,"One dinosaur was still full from eating a fish, so had no reason to eat a bug.","English"
"48",5,"four","frog",6,"without",0.98,"that is what happened","English"
"50",5,"four","butterflies",8,"with",1,"that is what happened","English"
"52",5,"four","lions",10,"with",0.99,"that is what happened","English"
"54",5,"four","dinosaurs",12,"without",1,"they didnt like bugs ","English"
"57",6,"two","frog",6,"with",1,"the small frog did not jump over the rock","english"
"59",6,"four","butterflies",8,"with",0.98,"Two went to the forest","english"
"61",6,"four","lions",10,"without",1,"They didnt like cookies","english"
"63",6,"two","dinosaurs",12,"with",1,"One was too full","english"
"66",7,"four","frog",6,"without",1,"Two frogs jumped over the rock, but the remaining two frogs did not because they thought the rock was too big to jump over.","English"
"68",7,"two","butterflies",8,"without",0,"One of the butterflies decided to go to the city, while the other decided to go home instead.","English"
"70",7,"two","lions",10,"without",0,"One lion bought an egg and a cookie, but the other lion did not because he liked neither.","English"
"72",7,"four","dinosaurs",12,"without",1,"Two of the four dinosaurs decided not to eat bugs because they did not like bugs.","English"
"75",8,"four","frog",6,"with",1,"All four frogs jumped over the fence. While two frogs DID jump over the rock, the other two DID NOT as it was too big.","English"
"77",8,"two","butterflies",8,"with",0.07,"One butterfly stayed in the forest, but the second one decided to leave and go to the city. There is a chance the second butterfly didn&quotechart follow through on his decision, but it is VERY LIKELY that one butterfly DID go to the city.","English"
"79",8,"four","lions",10,"without",1,"Of the four, two bought only a cookie, and two bought nothing. That means that two lions didn&quotechart buy a cookie (as well as not buying anything else).","English"
"81",8,"four","dinosaurs",12,"without",1,"The two dinosaurs didn&quotechart like bugs and so did not eat the bugs.","English"
"93",10,"two","frog",6,"without",0,"The first frog jumped","english"
"95",10,"four","butterflies",8,"with",1,"2 stayed at the forest and 2 went to the city","english"
"97",10,"two","lions",10,"without",0,"One bought a cookie","english"
"99",10,"two","dinosaurs",12,"without",0.01,"One ate bugs","english"
"102",11,"four","frog",6,"without",0.98,"Two frogs thought the rock was too tall to jump over.","English"
"104",11,"four","butterflies",8,"with",0.99,"Two butterflies remained in the forest.","English"
"106",11,"four","lions",10,"with",0.98,"Two lions did not buy a cookie but all bought an egg.","English"
"108",11,"two","dinosaurs",12,"with",0.01,"One dinosaur was still hungry and ate a bug.","English"
"111",12,"four","frog",6,"with",0.98,"only two frogs jumped over the rock","English"
"113",12,"four","butterflies",8,"without",0.98,"two butterflies went to the city the other two stayed home","English"
"115",12,"two","lions",10,"without",0.01,"one lion bought a cookie","English"
"117",12,"two","dinosaurs",12,"with",0.98,"two dinosaurs ate fish only one dinosaur ate a bug","English"
"120",13,"four","frog",6,"without",0.98,"2 frogs thought the rock was too big to jump","english"
