workerid,trial_type,number,item,slide_number,context,response
0,one_slider_practice,NA,NA,NA,NA,1
0,one_slider_practice,NA,NA,NA,NA,0.02
0,one_slider,two,frog,6,without,0.01
0,one_slider,two,control1,7,without,0
0,one_slider,four,butterflies,8,without,0.99
0,one_slider,four,control2,9,without,1
0,one_slider,two,lions,10,without,0
0,one_slider,four,control3,11,without,0
0,one_slider,four,dinosaurs,12,without,1
1,one_slider_practice,NA,NA,NA,NA,0.99
1,one_slider_practice,NA,NA,NA,NA,0
1,one_slider,two,frog,6,with,0.99
1,one_slider,four,control1,7,without,0.01
1,one_slider,two,butterflies,8,with,0.98
1,one_slider,four,control2,9,with,0.99
1,one_slider,two,lions,10,with,0.98
1,one_slider,four,control3,11,without,0.02
1,one_slider,two,dinosaurs,12,without,0
2,one_slider_practice,NA,NA,NA,NA,1
2,one_slider_practice,NA,NA,NA,NA,0
2,one_slider,four,frog,6,without,1
2,one_slider,four,control1,7,without,1
2,one_slider,four,butterflies,8,with,1
2,one_slider,two,control2,9,with,1
2,one_slider,two,lions,10,with,0
2,one_slider,four,control3,11,without,0
2,one_slider,two,dinosaurs,12,without,0
3,one_slider_practice,NA,NA,NA,NA,0.88
3,one_slider_practice,NA,NA,NA,NA,0.02
3,one_slider,two,frog,6,with,1
3,one_slider,two,control1,7,without,1
3,one_slider,four,butterflies,8,without,1
3,one_slider,two,control2,9,with,1
3,one_slider,two,lions,10,without,1
3,one_slider,two,control3,11,without,0
3,one_slider,two,dinosaurs,12,with,0.51
4,one_slider_practice,NA,NA,NA,NA,0.79
4,one_slider_practice,NA,NA,NA,NA,0.93
4,one_slider,four,frog,6,without,0.58
4,one_slider,four,control1,7,without,0.6
4,one_slider,four,butterflies,8,with,0.34
4,one_slider,two,control2,9,with,0.68
4,one_slider,two,lions,10,without,0.82
4,one_slider,four,control3,11,without,0.65
4,one_slider,two,dinosaurs,12,with,0.83
5,one_slider_practice,NA,NA,NA,NA,1
5,one_slider_practice,NA,NA,NA,NA,0.02
5,one_slider,four,frog,6,without,0.96
5,one_slider,two,control1,7,without,0.02
5,one_slider,two,butterflies,8,with,0.99
5,one_slider,two,control2,9,without,1
5,one_slider,four,lions,10,without,0.98
5,one_slider,four,control3,11,without,0
5,one_slider,two,dinosaurs,12,without,0
6,one_slider_practice,NA,NA,NA,NA,0.97
6,one_slider_practice,NA,NA,NA,NA,0
6,one_slider,four,frog,6,without,0.98
6,one_slider,four,control1,7,without,0
6,one_slider,two,butterflies,8,with,1
6,one_slider,two,control2,9,with,1
6,one_slider,four,lions,10,without,1
6,one_slider,two,control3,11,with,0
6,one_slider,four,dinosaurs,12,with,0
7,one_slider_practice,NA,NA,NA,NA,0.99
7,one_slider_practice,NA,NA,NA,NA,0.02
7,one_slider,four,frog,6,without,1
7,one_slider,four,control1,7,with,0.02
7,one_slider,four,butterflies,8,without,0.99
7,one_slider,two,control2,9,with,0.99
7,one_slider,four,lions,10,with,0.99
7,one_slider,four,control3,11,with,0.03
7,one_slider,four,dinosaurs,12,without,0.99
8,one_slider_practice,NA,NA,NA,NA,0.8
8,one_slider_practice,NA,NA,NA,NA,0.26
8,one_slider,two,frog,6,with,0.59
8,one_slider,two,control1,7,with,0.23
8,one_slider,four,butterflies,8,without,0.64
8,one_slider,four,control2,9,with,0.81
8,one_slider,four,lions,10,without,0.6
8,one_slider,two,control3,11,with,0.3
8,one_slider,four,dinosaurs,12,without,0.67
