date,workerid,amount
Fri Jun 22 11:29:42 PDT 2018,AEIIVFPRTDGMK,0.75
Fri Jun 22 11:32:32 PDT 2018,A1G6F1HWIS2K2K,0.75
Fri Jun 22 11:33:03 PDT 2018,A33NK36A94Y75Y,0.75
Fri Jun 22 11:33:22 PDT 2018,A1S6C6EN8MPKC3,0.75
Fri Jun 22 11:35:56 PDT 2018,A3U74S280Z4B0,0.75
Fri Jun 22 11:36:40 PDT 2018,ATSZCAVI441RM,0.75
Fri Jun 22 11:41:29 PDT 2018,A35NM2285DUAFH,0.75
Fri Jun 22 11:57:59 PDT 2018,A3CPZZNZDLFL6Z,0.75
Fri Jun 22 12:26:56 PDT 2018,A3E9A9O3CLMEW,0.75
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
