workerid,trial_type,number,item,slide_number,context,response
0,one_slider_practice,NA,NA,NA,NA,0.15
0,one_slider_practice,NA,NA,NA,NA,0.1
0,one_slider,two,frog,6,with,0.14
0,one_slider,two,control1,7,without,0.14
0,one_slider,four,butterflies,8,without,0.82
0,one_slider,four,control2,9,without,0.8
0,one_slider,four,lions,10,with,0.09
0,one_slider,four,control3,11,with,0.15
0,one_slider,four,dinosaurs,12,without,0.91
1,one_slider_practice,NA,NA,NA,NA,0.92
1,one_slider_practice,NA,NA,NA,NA,0.13
1,one_slider,two,frog,6,with,0.91
1,one_slider,four,control1,7,with,0.07
1,one_slider,four,butterflies,8,without,0.97
1,one_slider,four,control2,9,with,0.97
1,one_slider,four,lions,10,without,0.96
1,one_slider,two,control3,11,with,0.06
1,one_slider,two,dinosaurs,12,with,0.95
2,one_slider_practice,NA,NA,NA,NA,1
2,one_slider_practice,NA,NA,NA,NA,0
2,one_slider,two,frog,6,without,1
2,one_slider,two,control1,7,with,0
2,one_slider,two,butterflies,8,without,0.79
2,one_slider,four,control2,9,with,1
2,one_slider,four,lions,10,without,0.78
2,one_slider,two,control3,11,without,0
2,one_slider,four,dinosaurs,12,with,0.75
3,one_slider_practice,NA,NA,NA,NA,1
3,one_slider_practice,NA,NA,NA,NA,0.02
3,one_slider,four,frog,6,without,0.98
3,one_slider,two,control1,7,without,0
3,one_slider,two,butterflies,8,without,0.01
3,one_slider,two,control2,9,with,0.98
3,one_slider,two,lions,10,without,0
3,one_slider,four,control3,11,without,0.02
3,one_slider,four,dinosaurs,12,with,0.98
4,one_slider_practice,NA,NA,NA,NA,0.58
4,one_slider_practice,NA,NA,NA,NA,0.57
4,one_slider,four,frog,6,with,0.57
4,one_slider,four,control1,7,without,0.51
4,one_slider,four,butterflies,8,without,0.54
4,one_slider,four,control2,9,without,0.51
4,one_slider,four,lions,10,without,0.33
4,one_slider,four,control3,11,without,0.54
4,one_slider,four,dinosaurs,12,without,0.49
5,one_slider_practice,NA,NA,NA,NA,0.99
5,one_slider_practice,NA,NA,NA,NA,0.02
5,one_slider,four,frog,6,with,0.98
5,one_slider,four,control1,7,with,0.03
5,one_slider,four,butterflies,8,without,0.97
5,one_slider,four,control2,9,without,0.99
5,one_slider,four,lions,10,without,0.97
5,one_slider,four,control3,11,with,0.01
5,one_slider,two,dinosaurs,12,without,0
6,one_slider_practice,NA,NA,NA,NA,0.98
6,one_slider_practice,NA,NA,NA,NA,0
6,one_slider,two,frog,6,without,0
6,one_slider,four,control1,7,without,0
6,one_slider,four,butterflies,8,without,0.97
6,one_slider,two,control2,9,without,0.99
6,one_slider,two,lions,10,without,0
6,one_slider,four,control3,11,without,0
6,one_slider,four,dinosaurs,12,without,0.99
7,one_slider_practice,NA,NA,NA,NA,1
7,one_slider_practice,NA,NA,NA,NA,0
7,one_slider,two,frog,6,with,1
7,one_slider,two,control1,7,with,0
7,one_slider,two,butterflies,8,without,0
7,one_slider,two,control2,9,with,1
7,one_slider,four,lions,10,without,1
7,one_slider,two,control3,11,without,0
7,one_slider,four,dinosaurs,12,with,1
8,one_slider_practice,NA,NA,NA,NA,1
8,one_slider_practice,NA,NA,NA,NA,0
8,one_slider,two,frog,6,with,0.05
8,one_slider,four,control1,7,with,0
8,one_slider,four,butterflies,8,without,1
8,one_slider,four,control2,9,with,1
8,one_slider,two,lions,10,with,0
8,one_slider,two,control3,11,without,0
8,one_slider,four,dinosaurs,12,with,1
