date,workerid,amount
Fri Jul 06 09:14:35 PDT 2018,A18LPAFMK1B06K,0.75
Fri Jul 06 09:16:12 PDT 2018,A1DJEWE7PY7YQX,0.75
Fri Jul 06 09:19:07 PDT 2018,A1P6OXEJ86HQRM,0.75
Fri Jul 06 09:19:19 PDT 2018,AE4FRGGT254D3,0.75
Fri Jul 06 09:29:30 PDT 2018,A7HO8U70MUTUG,0.75
Fri Jul 06 09:35:16 PDT 2018,A2M72F8KER9L71,0.75
Fri Jul 06 09:53:14 PDT 2018,A11THU6UGG3THR,0.75
Fri Jul 06 10:03:08 PDT 2018,A138BU1VWM2RKN,0.75
Fri Jul 06 10:59:36 PDT 2018,APO6KZZ79PO9Q,0.75
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
