date,workerid,amount
Mon Jul 09 13:53:43 PDT 2018,A2E3TO92MCQ9XU,0.8
Mon Jul 09 13:59:20 PDT 2018,A1F8ONXY28ROAA,0.8
Mon Jul 09 13:59:57 PDT 2018,A26TY8FHMJ183C,0.8
Mon Jul 09 14:09:05 PDT 2018,AQAXDL1INQC9Q,0.8
Mon Jul 09 14:11:54 PDT 2018,A1V9G7V6ZYACIR,0.8
Mon Jul 09 14:16:56 PDT 2018,A4E1UYPDHE8D8,0.8
Mon Jul 09 14:21:22 PDT 2018,A22G3IFRURGMBT,0.8
Mon Jul 09 14:51:53 PDT 2018,A1ALU9NOW3R98V,0.8
Mon Jul 09 14:57:18 PDT 2018,A2TVJTQ4VXATE6,0.8
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
