workerid,trial_type,justification,number,item,slide_number,context,response
0,one_slider_practice,it said he bought 2,NA,NA,NA,NA,0.88
0,one_slider_practice,the third dog did not,NA,NA,NA,NA,0
0,one_slider,the other frog decided against it,two,frog,6,with,0.9
0,one_slider,only two,two,control1,7,with,0.03
0,one_slider,"yes, one went home",two,butterflies,8,without,0.92
0,one_slider,other dog was afraid,two,control2,9,with,0.88
0,one_slider,one of them bought cookie,two,lions,10,with,0.04
0,one_slider,two did not jump,two,control3,11,without,0.14
0,one_slider,they do not like bugs,four,dinosaurs,12,without,0.94
1,one_slider_practice,He did buy two cars,NA,NA,NA,NA,1
1,one_slider_practice,Only 2 jumped,NA,NA,NA,NA,0
1,one_slider,Only 1 did,two,frog,6,without,1
1,one_slider,only 2,four,control1,7,without,0.01
1,one_slider,1 did,two,butterflies,8,without,1
1,one_slider,only 1 did,four,control2,9,with,1
1,one_slider,only 1 bought a cookie,two,lions,10,with,1
1,one_slider,only 2 jumped,four,control3,11,without,0
1,one_slider,2 did,four,dinosaurs,12,without,0.87
2,one_slider_practice,it said that they bought two different cars for two pennies each.,NA,NA,NA,NA,0.81
2,one_slider_practice,the small dog said they were not jumping because they were too small.,NA,NA,NA,NA,0.25
2,one_slider,because both jumped over but the other two thought the rock was too big.,four,frog,6,with,0.71
2,one_slider,there was only two hippos.,two,control1,7,without,0.21
2,one_slider,two decided to stay at home.,four,butterflies,8,without,0.78
2,one_slider,the other dog was afraid their ball might roll off the table.,two,control2,9,without,0.88
2,one_slider,only one lion bought a cookie,two,lions,10,with,0.75
2,one_slider,two lizards did not climbed because they felt it was too high.,two,control3,11,without,0.21
2,one_slider,only one did because the other did not like to eat bugs.,two,dinosaurs,12,without,0.26
3,one_slider_practice,i don&quotechart need to ,NA,NA,NA,NA,0.99
3,one_slider_practice,nope,NA,NA,NA,NA,0.49
3,one_slider,?,four,frog,6,without,0.81
3,one_slider,?,four,control1,7,with,0.93
3,one_slider,they stayed home,four,butterflies,8,without,0.92
3,one_slider,other dog scared,two,control2,9,without,0.93
3,one_slider,one lion bought cookie,two,lions,10,without,0.06
3,one_slider,2 on the book,four,control3,11,without,0.15
3,one_slider,they ate nothing,four,dinosaurs,12,without,0.87
4,one_slider_practice,he bought a silver car then a yellow car,NA,NA,NA,NA,0.97
4,one_slider_practice,the 3rd dog said he was too small to jump on the table,NA,NA,NA,NA,0.04
4,one_slider,the 1st frog jumped over the rock,two,frog,6,without,0.02
4,one_slider,there were only 2 hippos,two,control1,7,without,0.03
4,one_slider,only the butterflies who didn&quotechart like the forest went to the city,four,butterflies,8,with,1
4,one_slider,the 2nd dog didn&quotechart roll the ball he was afraid it would roll of the table,four,control2,9,with,0.95
4,one_slider,one lion bought a cookie,two,lions,10,without,0.02
4,one_slider,2 lizard thought the book was too high,two,control3,11,without,0
4,one_slider,2 didnt&quotechar like bugs,four,dinosaurs,12,without,0.97
5,one_slider_practice,He bought two cars both for two pennies each,NA,NA,NA,NA,1
5,one_slider_practice,Only two of the dogs jumped on the table. The third dog said he was too small.,NA,NA,NA,NA,0
5,one_slider,Two frogs jumped over the rock and two frogs did not,four,frog,6,without,1
5,one_slider,There were only two hippos,four,control1,7,without,0
5,one_slider,"Both butterflies went to the forest, but only one went to the city",two,butterflies,8,with,1
5,one_slider,One dog decided not to roll his ball fearing it would roll off the table,four,control2,9,without,1
5,one_slider,Only two lions decided to purchase cookies,four,lions,10,without,1
5,one_slider,"No lizards climbed on the book, but two lizards jumped on the book",four,control3,11,with,0
5,one_slider,Only one dinosaur ate a bug,two,dinosaurs,12,without,1
6,one_slider_practice,The smurf bought a yellow car and a silver convertible. ,NA,NA,NA,NA,0.8
6,one_slider_practice,Two dogs jumped on the table. The third said the table was too small.,NA,NA,NA,NA,0.16
6,one_slider,"Two frogs thought the rock was too big to jump over, and two did not. ",four,frog,6,without,0.82
6,one_slider,"There are only two hippos, not three. ",four,control1,7,with,0.24
6,one_slider,One butterfly decided to go to the city. The other went home.,two,butterflies,8,without,0.29
6,one_slider,Only one dog rolled the ball. The other was afraid that the ball would roll off the table.,four,control2,9,with,0.8
6,one_slider,"Four lions bought eggs, but only two of the lions wanted to by cookies. ",four,lions,10,with,0.87
6,one_slider,Only two lizards climbed on the book. The other two thought it was too high.,four,control3,11,with,0.13
6,one_slider,"All four ate a fish, but two were too full to eat bugs afterwards. ",four,dinosaurs,12,with,0.88
7,one_slider_practice,"Yes, he was shown a second car and also purchase it.",NA,NA,NA,NA,0.9
7,one_slider_practice,The third dog did not jump.,NA,NA,NA,NA,0.18
7,one_slider,The last two frogs thought that the rock was too big to jump over.,four,frog,6,without,1
7,one_slider,There were only two hippos.,two,control1,7,without,0
7,one_slider,One butterfly did go to the city while the other stayed home.,two,butterflies,8,without,0
7,one_slider,The second dog decided not to roll its ball because it was afraid it might roll off the table.,two,control2,9,with,0.99
7,one_slider,One lion did in fact buy a cookie while the other did not.,two,lions,10,without,0.01
7,one_slider,Two of the four lizards decided the book was too high and they did not jump.,four,control3,11,without,0
7,one_slider,One of the two dinosaurs did in fact choose to also eat a bug.,two,dinosaurs,12,with,0.02
8,one_slider_practice,The story explicitly says he bought two and no more,NA,NA,NA,NA,1
