workerid,trial_type,justification,number,item,slide_number,context,response
0,one_slider_practice,he purchase a silver and yellow car,NA,NA,NA,NA,0.9
0,one_slider_practice,both dogs jumped,NA,NA,NA,NA,0.9
0,one_slider,they both  failed the jump,two,frog,6,without,0.07
0,one_slider,both failed jump,four,control1,7,with,0.91
0,one_slider,both went to the city,four,butterflies,8,with,0.1
0,one_slider,one of them did,four,control2,9,with,0.81
0,one_slider,it says so in the story,four,lions,10,with,0.09
0,one_slider,2 of them did not jump,four,control3,11,without,0.12
0,one_slider,two were still hungry,four,dinosaurs,12,with,0.91
1,one_slider_practice,It states he bought a silver car and a yellow car.,NA,NA,NA,NA,1
1,one_slider_practice,The third dog was too small to jump on the table.,NA,NA,NA,NA,0
1,one_slider,2 frogs thought the rock was too big to jump.,four,frog,6,with,1
1,one_slider,There aren&quotechart three hippos in the story. ,two,control1,7,with,0
1,one_slider,One butterfly chose to go to the city. ,two,butterflies,8,without,0
1,one_slider,Only one rolled the ball. One dog was scared the ball might fall off the table. ,four,control2,9,with,1
1,one_slider,It says all four bought eggs but only two lions bought cookies. ,four,lions,10,with,1
1,one_slider,Two of the lizards thought the book was too high and didn&quotechart climb it. ,four,control3,11,without,0
1,one_slider,Two didn&quotechart eat bugs because they don&quotechart like bugs. ,four,dinosaurs,12,without,1
2,one_slider_practice,silver car and yellow car,NA,NA,NA,NA,1
2,one_slider_practice,3rd dog was too small to jump onto the table,NA,NA,NA,NA,0
2,one_slider,first frog jumped over rock,two,frog,6,without,0
2,one_slider,only two hippos,two,control1,7,with,0
2,one_slider,one went to city,two,butterflies,8,without,0
2,one_slider,2nd dog didn&quotechart roll its ball,four,control2,9,without,1
2,one_slider,only one lion bought a cookie,two,lions,10,with,1
2,one_slider,only two,four,control3,11,with,0
2,one_slider,two didn&quotechart like to eat bugs,four,dinosaurs,12,without,1
3,one_slider_practice,He purchased the first car for two pennies and the second yellow car for another two pennies before stopping because he only had one penny left.,NA,NA,NA,NA,0.94
3,one_slider_practice,The third dog didn&quotechart jump on the table because he said he was too small.,NA,NA,NA,NA,0.01
3,one_slider,"The first two frogs decided to jump over the rock, but the other two frogs thought that the rock was also too big to jump over.",four,frog,6,without,0.98
3,one_slider,This story features two hippos and two cartons of milk.,two,control1,7,with,0.01
3,one_slider,This story features four butterflies. Two of the butterflies did not like the forest. The butterflies who didn&quotechart like the forest decided to leave the forest and go to the city.,four,butterflies,8,with,0.96
3,one_slider,"The second dog decided not to roll its ball, because it was afraid its ball might roll the table.",four,control2,9,with,0.97
3,one_slider,"All four lions bought eggs, and two of the lions bought cookies.",four,lions,10,with,0.98
3,one_slider,Two of the lizards jumped on the book. The other two lizards decided the book was too high and decided not to jump.,two,control3,11,with,0.02
3,one_slider,"The two dinosaurs ate a fish because fish are easy to catch. One dinosaur was still hungry, so he decided to also eat a bug.",two,dinosaurs,12,with,0.02
4,one_slider_practice,The smurf bought a yellow and a silver car.,NA,NA,NA,NA,0.92
4,one_slider_practice,The third dog was too small to jump on the table.,NA,NA,NA,NA,0.07
4,one_slider,Two frogs thought the rock was too big to jump over.,four,frog,6,without,0.9
4,one_slider,There were only two hippos in the story.,two,control1,7,without,0.05
4,one_slider,Two butterflies decided to go to the city.,four,butterflies,8,without,0.93
4,one_slider,The other dog didn&quotechart roll his ball because he thought it might roll off the table.,two,control2,9,without,0.93
4,one_slider,Two lions didn&quotechart buy anything.,four,lions,10,without,0.83
4,one_slider,Two lizards thought the book was too high.,two,control3,11,with,0.07
4,one_slider,One of the dinosaurs ate a bug.,two,dinosaurs,12,without,0.05
5,one_slider_practice,yes he had two car,NA,NA,NA,NA,0.58
5,one_slider_practice,all dogs are jumped on the table,NA,NA,NA,NA,0.51
5,one_slider,fence frog are jumped,two,frog,6,with,0.73
5,one_slider,they drank mil,two,control1,7,with,0.65
5,one_slider,Both are in forest,two,butterflies,8,without,0.46
5,one_slider,they are playing,four,control2,9,with,0.53
5,one_slider,cookie are present,four,lions,10,with,0.48
5,one_slider,lizards are jump on book,four,control3,11,with,0.47
5,one_slider,they did not bugs,two,dinosaurs,12,with,0.52
6,one_slider_practice,"The smurf bought a silver convertible & a yellow car, so only two cars were purchased.",NA,NA,NA,NA,1
6,one_slider_practice,Only two dogs jumped on the table; the third dog didn&quotechart because he was too small.,NA,NA,NA,NA,0
6,one_slider,"Two frogs did jump over the fence, but only one frog jumped over the rock.",two,frog,6,with,1
6,one_slider,Only two hippos drank milk.,two,control1,7,with,0
6,one_slider,Only one butterfly went to the city.,two,butterflies,8,without,1
6,one_slider,"Yes, because the second dog didn&quotechart roll its ball on the table.",four,control2,9,with,1
6,one_slider,"Two lions decided not to buy a cookie, which is true.",four,lions,10,without,1
6,one_slider,Only two lizards jumped on the book.,four,control3,11,with,0
6,one_slider,"This is correct, because all four ate fish, but two decided not to eat bugs.",four,dinosaurs,12,with,1
7,one_slider_practice,The smurf indeed bought two cars for two pennies each. ,NA,NA,NA,NA,0.99
7,one_slider_practice,One out the three dogs dind&quotechart jump on the table because he was too small.,NA,NA,NA,NA,0.02
7,one_slider,One frog did jump over the rock but the other frog said the rock was too big to jump over.,two,frog,6,with,0
7,one_slider,Two hippos drank milk,four,control1,7,without,0
