context,semantics,manipulation,baserate,qud,inverse,endorsement,
2,NA,baserate,0.1,uniform,0.5,0.287631447,
2,NA,baserate,0.5,uniform,0.5,0.505753425,
2,NA,baserate,0.9,uniform,0.5,0.796436864,
2,NA,qud,0.5,none?,0.5,0.382581151,
2,NA,qud,0.5,how-many?,0.5,0.482567455,
2,NA,qud,0.5,all?,0.5,0.626226882,
2,NA,scope,0.5,uniform,0.1,0.424471497,
2,NA,scope,0.5,uniform,0.5,0.505753425,
2,NA,scope,0.5,uniform,0.9,0.569497338,
4,exact,baserate,0.1,uniform,0.5,0.607643179,
4,exact,baserate,0.5,uniform,0.5,0.551505724,
4,exact,baserate,0.9,uniform,0.5,0.607643179,
4,exact,qud,0.5,none?,0.5,0.519849763,
4,exact,qud,0.5,how-many?,0.5,0.586257095,
4,exact,qud,0.5,all?,0.5,0.519849763,
4,exact,qud,0.5,two?,0.5,0.586257095,
4,exact,scope,0.5,uniform,0.1,0.721418282,
4,exact,scope,0.5,uniform,0.5,0.551505724,
4,exact,scope,0.5,uniform,0.9,0.359677911,
4,at-least,baserate,0.1,uniform,0.5,0.271522786,
4,at-least,baserate,0.5,uniform,0.5,0.460909815,
4,at-least,baserate,0.9,uniform,0.5,0.69544387,
4,at-least,qud,0.5,none?,0.5,0.481080527,
4,at-least,qud,0.5,how-many?,0.5,0.480721145,
4,at-least,qud,0.5,all?,0.5,0.525251445,
4,at-least,qud,0.5,two?,0.5,0.329937978,
4,at-least,scope,0.5,uniform,0.1,0.519826738,
4,at-least,scope,0.5,uniform,0.5,0.460909815,
4,at-least,scope,0.5,uniform,0.9,0.391066541,
